algo,avg_exploration_pct,avg_exploitation_pct,avg_nearest_neighbor_distance,dispersion,intensification_ratio,average_convergence_rate,success_rate,longest_no_improvement_streak,last_improvement_fraction
ADEO,32.71263580216831,67.28736419783169,7.284606709600571,265.59287319012,0.4260278419737294,0.9964082809544214,0.013734419820252362,11012.683333333332,0.31174743954695
DE-Crossover,31.998985985897722,68.00101401410228,46.08642413156621,260.42250840341165,0.5726342499345445,0.9964144307931592,0.007991546507967967,7549.716666666666,0.25053569485977084
DE-DynPop,95.88828222366358,4.111717776336421,138.28543936097165,217.77972498397918,0.006353004732620119,0.9963888018982187,0.00151395355267154,15685.091666666667,0.5309171524736418
DE-GradBoost,22.858657780077984,77.14134221992202,26.440432249224767,372.3384105662366,0.593274789813772,0.917579010221869,0.10839927047458302,145.13333333333333,0.11559494133035536
DE-Harmony,42.49758523338423,57.50241476661577,30.51931425305416,318.38953872272975,0.49173536722074385,0.9963390211375581,0.036446875,15878.016666666666,0.6700143749999999
DE-LocalSearch,67.9673951938789,32.03260480612111,17.25024135153967,337.851048951211,0.05169419126341574,0.9134234262708901,0.19658508813774928,79.80833333333334,0.04674686804325107
DE-Memetic,3.4497463305281806,96.55025366947183,1.819675006354373,350.43575366215345,0.8654387064320306,0.9744216014605391,0.18376799603209176,1166.0583333333334,0.23743157634376555
DE-PSO,4.007086203861118,95.9929137961389,4.476653628997962,336.89799821138297,0.8101517099128887,0.9963567939414595,0.01277702595243364,13357.658333333333,0.5008183760677363
DE-Perturbation,34.89181376835286,65.10818623164715,48.63112119272053,340.3467133666259,0.40119425826453914,0.917237588869919,0.059808286951144055,142.71666666666667,0.10120207173778598
DE-Plus,37.7637571557897,62.2362428442103,13.074473042663948,303.1329782907913,0.2965063617389484,0.9963747434148927,0.011058541666666666,5659.358333333334,0.152770625
