Best_Algorithm,Function_ID,Dimension,Best_Mean_Error
de_crossover,1,10,0.0
de_crossover,1,20,0.0
de_harmony_search,2,10,1.2055941005805229
de_harmony_search,2,20,1.9394126080956937
adeo,3,10,0.0
de_crossover,3,20,0.0
adeo,4,10,15.288213979348075
adeo,4,20,55.21250902307839
de_crossover,5,10,0.0
de_crossover,5,20,0.0
de_harmony_search,6,10,2.00484514079335
de_harmony_search,6,20,20072.256504140758
de_plus,7,10,1.3633101171208333
de_plus,7,20,26.753197319583446
de_plus,8,10,4.908425428813901
de_plus,8,20,29.744399282129688
de_plus,9,10,115.2754909988708
de_harmony_search,9,20,230.9904760178482
adeo,10,10,220.92587825582953
de_crossover,10,20,395.7174725566708
de_crossover,11,10,1.8189894035458566e-13
de_crossover,11,20,4.547473508864641e-13
de_crossover,12,10,164.7902825454201
de_harmony_search,12,20,200.00404306141095
