Best_Algorithm,Function_ID,Dimension,Best_Mean_Error
de_crossover,1,10,0.0
de_crossover,1,20,0.0
de_harmony_search,2,10,1.7889331274041922
de_harmony_search,2,20,2.9802237844298154
adeo,3,10,0.0
de_crossover,3,20,0.0
adeo,4,10,13.22143957988803
adeo,4,20,53.39268832194179
de_crossover,5,10,0.0
de_crossover,5,20,0.0
de_harmony_search,6,10,2.62203583316403
de_plus,6,20,28759.769150434542
adeo,7,10,2.4679565699547235
de_plus,7,20,23.29184116760927
adeo,8,10,4.274747485679169
de_plus,8,20,22.918875143112547
de_harmony_search,9,10,218.5713458964574
de_harmony_search,9,20,225.08523932223912
de_crossover,10,10,220.87264974897946
de_crossover,10,20,395.2373551016197
de_crossover,11,10,1.5158245029548803e-13
de_crossover,11,20,4.547473508864641e-13
de_crossover,12,10,164.54505701138456
de_harmony_search,12,20,200.0039523315895
